Enforcing authority,"Year
[Note 1]","Employment Status - overview 
[Note 2]",Employment Status - detail,Age band,Gender of deceased person,Incident Type,Kind of accident,"Top-level Industry (SIC section)
[Note 3]","Detailed industry (2-Digit SIC)
[Note 3] [Note 4]",Country,Region,LA Name (of incident location)
HSE,2021/22p,Members of the public,MoP,65 and over,Female,Non-fatal injury,Exposed to fire,Construction (F),43 Specialised construction activities,England,East of England,Peterborough
HSE,2021/22p,Workers,Employee,25 - 34,Male,Non-fatal injury,Fall from height,Construction (F),43 Specialised construction activities,England,Yorkshire and The Humber,Bradford
HSE,2021/22p,Workers,Self Employed,60 - 64,Male,Non-fatal injury,Fall from height,Construction (F),43 Specialised construction activities,England,South West,Cornwall
HSE,2021/22p,Workers,Self Employed,65 and over,Male,Non-fatal injury,Fall from height,Construction (F),43 Specialised construction activities,Scotland,Scotland,Fife
HSE,2021/22p,Workers,Self Employed,25 - 34,Male,Non-work related,Contact with machinery,Construction (F),43 Specialised construction activities,England,East Midlands,Newark and Sherwood
HSE,2021/22p,Workers,Employee,60 - 64,Male,Non-work related,Fall from height,Construction (F),43 Specialised construction activities,Scotland,Scotland,Fife
HSE,2021/22p,Workers,Employee,16 - 19,Male,Dangerous Occurrence,Fall from height,Construction (F),43 Specialised construction activities,England,North West,Liverpool
HSE,2021/22p,Workers,Employee,25 - 34,Male,Dangerous Occurrence,Trapped by something collapsing,Construction (F),43 Specialised construction activities,England,London,Newham
HSE,2021/22p,Workers,Employee,25 - 34,Male,Dangerous Occurrence,Struck by object,Construction (F),43 Specialised construction activities,England,London,Hackney
HSE,2021/22p,Members of the public,MoP,65 and over,Male,Dangerous Occurrence,Fall from height,Construction (F),43 Specialised construction activities,England,Yorkshire and The Humber,Craven
HSE,2021/22p,Workers,Self Employed,35 - 44,Male,Non-fatal injury,Contact with electricity,Construction (F),43 Specialised construction activities,England,South East,Sevenoaks
HSE,2021/22p,Workers,Self Employed,25 - 34,Male,Non-fatal injury,Struck by moving vehicle,Construction (F),43 Specialised construction activities,England,East Midlands,North Northamptonshire
HSE,2021/22p,Workers,Employee,35 - 44,Male,Non-fatal injury,Trapped by something collapsing,Construction (F),43 Specialised construction activities,England,East of England,West Suffolk
HSE,2021/22p,Workers,Employee,45 - 54,Male,Dangerous Occurrence,Fall from height,Construction (F),43 Specialised construction activities,England,East Midlands,Rutland
HSE,2021/22p,Workers,Employee,35 - 44,Male,Non-fatal injury,Trapped by something collapsing,Construction (F),43 Specialised construction activities,England,East of England,Thurrock
HSE,2021/22p,Workers,Employee,35 - 44,Male,Non-fatal injury,Struck by moving vehicle,Construction (F),43 Specialised construction activities,England,North West,Rochdale
